cores,lithography,base_frequency,tdp,max_temp,sku,cache_size,processor_performance,socket_group,memory_group,brand
16.0,7.0,3400.0,105.0,90.0,10456,65536.0,High Tier,LGA,DDR4,0
12.0,7.0,3700.0,105.0,90.0,10461,65536.0,High Tier,LGA,DDR4,0
12.0,7.0,3000.0,65.0,95.0,10796,65536.0,High Tier,LGA,DDR4,0
8.0,7.0,3800.0,105.0,90.0,10466,32768.0,Mid Tier,LGA,DDR4,0
8.0,7.0,3400.0,65.0,95.0,10791,32768.0,Mid Tier,LGA,DDR4,0
6.0,7.0,3700.0,65.0,95.0,10471,32768.0,Mid Tier,LGA,DDR4,0
8.0,7.0,3900.0,105.0,95.0,9941,32768.0,Mid Tier,LGA,DDR4,0
6.0,7.0,3800.0,95.0,95.0,9936,32768.0,Mid Tier,LGA,DDR4,0
64.0,7.0,2700.0,280.0,90.0,10181,262144.0,High Tier,Threadripper,DDR4,0
32.0,7.0,3500.0,280.0,90.0,10176,131072.0,High Tier,Threadripper,DDR4,0
16.0,7.0,3900.0,280.0,90.0,10186,65536.0,High Tier,Threadripper,DDR4,0
64.0,7.0,2900.0,280.0,95.0,9111,262144.0,High Tier,Threadripper,DDR4,0
8.0,7.0,3300.0,45.0,105.0,10801,16384.0,High Tier,BGA,LPDDR4,0
8.0,7.0,3000.0,35.0,105.0,10806,16384.0,High Tier,BGA,LPDDR4,0
32.0,7.0,3700.0,280.0,95.0,8941,131072.0,High Tier,Threadripper,DDR4,0
8.0,7.0,3300.0,45.0,105.0,10811,16384.0,High Tier,BGA,LPDDR4,0
8.0,7.0,3000.0,35.0,105.0,10816,16384.0,High Tier,BGA,LPDDR4,0
24.0,7.0,3800.0,280.0,95.0,8946,131072.0,High Tier,Threadripper,DDR4,0
8.0,7.0,3200.0,45.0,105.0,10821,16384.0,Mid Tier,BGA,LPDDR4,0
8.0,7.0,2800.0,35.0,105.0,10826,16384.0,Mid Tier,BGA,LPDDR4,0
6.0,7.0,3300.0,45.0,105.0,10831,16384.0,Mid Tier,BGA,LPDDR4,0
16.0,7.0,3500.0,105.0,95.0,8486,65536.0,High Tier,LGA,DDR4,0
6.0,7.0,3000.0,35.0,105.0,10836,16384.0,Mid Tier,BGA,LPDDR4,0
8.0,7.0,1900.0,15.0,105.0,10841,16384.0,Mid Tier,BGA,LPDDR4,0
12.0,7.0,3800.0,105.0,95.0,8436,65536.0,High Tier,LGA,DDR4,0
8.0,7.0,1800.0,15.0,105.0,10846,8192.0,Mid Tier,BGA,LPDDR4,0
12.0,7.0,3100.0,65.0,95.0,8931,65536.0,High Tier,LGA,DDR4,0
6.0,7.0,2300.0,15.0,105.0,10851,16384.0,Mid Tier,BGA,LPDDR4,0
6.0,7.0,2100.0,15.0,105.0,10856,8192.0,Mid Tier,BGA,LPDDR4,0
8.0,7.0,3900.0,105.0,95.0,8441,32768.0,Mid Tier,LGA,DDR4,0
4.0,7.0,2600.0,15.0,105.0,10866,8192.0,Mid Tier,BGA,LPDDR4,0
